Filename, Sample, U1 (V), I1 (A), Ug (V), gm (A/V), go (A/V), μ (V/V), T (°C)
LD1014D_402_NA, LD1014D_402, 1.5, 1.5, -0.858, 8.951, 1.333, 6.712, 40
LD1014D_402_NA, LD1014D_402, 1.5, 1.833, -0.8262, 8.957, 1.431, 6.259, 40
LD1014D_402_NA, LD1014D_402, 1.5, 2.167, -0.793, 8.964, 1.519, 5.902, 40
LD1014D_402_NA, LD1014D_402, 1.5, 2.5, -0.7534, 8.973, 1.607, 5.585, 40
LD1014D_403, LD1014D_403, 1.5, 1.5, -0.9603, 9.115, 1.674, 5.446, 40
LD1014D_403, LD1014D_403, 1.5, 1.833, -0.9085, 9.117, 1.739, 5.241, 40
LD1014D_403, LD1014D_403, 1.5, 2.167, -0.8607, 9.122, 1.805, 5.053, 40
LD1014D_403, LD1014D_403, 1.5, 2.5, -0.8297, 9.128, 1.871, 4.879, 40
LD1014D_404, LD1014D_404, 1.5, 1.5, -0.8598, 8.957, 1.396, 6.415, 40
LD1014D_404, LD1014D_404, 1.5, 1.833, -0.8296, 9.008, 1.467, 6.14, 40
LD1014D_404, LD1014D_404, 1.5, 2.167, -0.7993, 9.069, 1.547, 5.86, 40
LD1014D_404, LD1014D_404, 1.5, 2.5, -0.7587, 9.126, 1.621, 5.63, 40
LD1014D_405, LD1014D_405, 1.5, 1.5, -0.6, 2.253, 0.9332, 2.414, 39.94
LD1014D_405, LD1014D_405, 1.5, 1.833, nan, 2.253, 0.9332, 2.414, 39.94
LD1014D_405, LD1014D_405, 1.5, 2.167, nan, 2.253, 0.9332, 2.414, 39.94
LD1014D_405, LD1014D_405, 1.5, 2.5, nan, 2.253, 0.9332, 2.414, 39.94
LD1014D_406, LD1014D_406, 1.5, 1.5, -0.9634, 8.791, 1.659, 5.298, 40
LD1014D_406, LD1014D_406, 1.5, 1.833, -0.9156, 8.922, 1.731, 5.155, 40
LD1014D_406, LD1014D_406, 1.5, 2.167, -0.8678, 9.012, 1.793, 5.027, 40
LD1014D_406, LD1014D_406, 1.5, 2.5, -0.8389, 9.08, 1.853, 4.9, 40
LD1014D_407, LD1014D_407, 1.5, 1.5, -0.8981, 9.514, 1.406, 6.768, 40
LD1014D_407, LD1014D_407, 1.5, 1.833, -0.8552, 9.518, 1.485, 6.409, 40
LD1014D_407, LD1014D_407, 1.5, 2.167, -0.8254, 9.525, 1.564, 6.088, 40
LD1014D_407, LD1014D_407, 1.5, 2.5, -0.7946, 9.533, 1.644, 5.799, 40
LD1014D_408, LD1014D_408, 1.5, 1.5, -0.6755, 5.318, 1.356, 3.921, 40
LD1014D_408, LD1014D_408, 1.5, 1.833, -0.6401, 5.181, 1.61, 3.219, 40
LD1014D_408, LD1014D_408, 1.5, 2.167, -0.6047, 5.022, 1.899, 2.645, 40
LD1014D_408, LD1014D_408, 1.5, 2.5, -0.6, 5.008, 1.935, 2.588, 40
LD1014D_409, LD1014D_409, 1.5, 1.5, nan, 8.531, 2.071, 4.119, 40
LD1014D_409, LD1014D_409, 1.5, 1.833, -0.9712, 8.562, 2.087, 4.103, 40
LD1014D_409, LD1014D_409, 1.5, 2.167, -0.9234, 8.607, 2.116, 4.068, 40
LD1014D_409, LD1014D_409, 1.5, 2.5, -0.8756, 8.635, 2.145, 4.026, 40
LD1014D_40, LD1014D_40, 1.5, 1.5, -0.7574, 11.85, 2.299, 5.152, NA
LD1014D_40, LD1014D_40, 1.5, 1.833, -0.7313, 12.99, 2.507, 5.184, NA
LD1014D_40, LD1014D_40, 1.5, 2.167, -0.7072, 13.86, 2.699, 5.136, NA
LD1014D_40, LD1014D_40, 1.5, 2.5, -0.6823, 14.53, 2.87, 5.064, NA
LD1014D_410, LD1014D_410, 1.5, 1.5, -0.9102, 9.139, 1.55, 5.897, 40
LD1014D_410, LD1014D_410, 1.5, 1.833, -0.8613, 9.142, 1.626, 5.624, 40
LD1014D_410, LD1014D_410, 1.5, 2.167, -0.8302, 9.148, 1.702, 5.376, 40
